Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-03 18:00:00-05:00,74.4749984741211,74.7249984741211,74.375,74.67500305175781,74.67500305175781,16
2023-12-03 18:02:00-05:00,74.67500305175781,74.69999694824219,74.57499694824219,74.57499694824219,74.57499694824219,28
2023-12-03 18:04:00-05:00,74.5999984741211,74.5999984741211,74.4749984741211,74.5999984741211,74.5999984741211,21
2023-12-03 18:06:00-05:00,74.5,74.5250015258789,74.4749984741211,74.4749984741211,74.4749984741211,12
2023-12-03 18:08:00-05:00,74.44999694824219,74.5,74.4000015258789,74.4000015258789,74.4000015258789,15
2023-12-03 18:10:00-05:00,74.4000015258789,74.44999694824219,74.3499984741211,74.44999694824219,74.44999694824219,5
2023-12-03 18:12:00-05:00,74.44999694824219,74.6500015258789,74.44999694824219,74.6500015258789,74.6500015258789,34
2023-12-03 18:14:00-05:00,74.625,74.625,74.57499694824219,74.625,74.625,12
2023-12-03 18:16:00-05:00,74.5999984741211,74.67500305175781,74.5999984741211,74.67500305175781,74.67500305175781,8
2023-12-03 18:18:00-05:00,74.67500305175781,74.80000305175781,74.67500305175781,74.80000305175781,74.80000305175781,25
2023-12-03 18:20:00-05:00,74.80000305175781,74.9000015258789,74.7750015258789,74.82499694824219,74.82499694824219,45
2023-12-03 18:22:00-05:00,74.80000305175781,74.82499694824219,74.7750015258789,74.7750015258789,74.7750015258789,11
2023-12-03 18:24:00-05:00,74.7750015258789,74.8499984741211,74.75,74.8499984741211,74.8499984741211,4
2023-12-03 18:26:00-05:00,74.875,74.9749984741211,74.875,74.9749984741211,74.9749984741211,16
2023-12-03 18:28:00-05:00,74.9749984741211,74.9749984741211,74.92500305175781,74.9749984741211,74.9749984741211,11
2023-12-03 18:30:00-05:00,74.9749984741211,74.9749984741211,74.9000015258789,74.94999694824219,74.94999694824219,16
2023-12-03 18:32:00-05:00,74.9000015258789,74.9749984741211,74.9000015258789,74.94999694824219,74.94999694824219,9
2023-12-03 18:34:00-05:00,75.0,75.0250015258789,74.9749984741211,74.9749984741211,74.9749984741211,14
2023-12-03 18:36:00-05:00,74.9000015258789,74.9000015258789,74.8499984741211,74.8499984741211,74.8499984741211,8
2023-12-03 18:38:00-05:00,74.875,74.9000015258789,74.875,74.875,74.875,8
