Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-03 18:00:00-05:00,16022.0,16026.0,16014.5,16015.25,16015.25,627
2023-12-03 18:02:00-05:00,16015.75,16017.25,16005.5,16007.0,16007.0,737
2023-12-03 18:04:00-05:00,16007.25,16009.5,16003.25,16004.25,16004.25,475
2023-12-03 18:06:00-05:00,16004.5,16005.5,15993.0,15993.25,15993.25,579
2023-12-03 18:08:00-05:00,15994.0,15995.5,15988.25,15993.75,15993.75,643
2023-12-03 18:10:00-05:00,15994.0,15997.0,15993.5,15994.75,15994.75,543
2023-12-03 18:12:00-05:00,15995.5,15997.25,15988.5,15991.0,15991.0,452
2023-12-03 18:14:00-05:00,15991.0,15993.75,15988.25,15992.5,15992.5,247
2023-12-03 18:16:00-05:00,15992.75,15996.25,15991.25,15994.75,15994.75,173
2023-12-03 18:18:00-05:00,15995.5,15997.0,15994.25,15994.5,15994.5,125
2023-12-03 18:20:00-05:00,15995.0,15998.75,15993.75,15997.75,15997.75,177
2023-12-03 18:22:00-05:00,15997.5,15998.75,15996.0,15998.25,15998.25,86
2023-12-03 18:24:00-05:00,15998.25,16000.25,15997.5,15999.5,15999.5,141
2023-12-03 18:26:00-05:00,15999.75,16000.0,15997.5,15999.25,15999.25,191
2023-12-03 18:28:00-05:00,15999.75,16000.0,15995.5,15995.5,15995.5,175
2023-12-03 18:30:00-05:00,15996.25,15998.0,15995.5,15997.0,15997.0,131
2023-12-03 18:32:00-05:00,15997.0,15997.5,15991.5,15994.0,15994.0,361
2023-12-03 18:34:00-05:00,15994.25,15998.0,15993.5,15994.25,15994.25,157
2023-12-03 18:36:00-05:00,15994.25,15995.5,15992.25,15993.0,15993.0,112
2023-12-03 18:38:00-05:00,15993.25,15996.25,15993.25,15996.0,15996.0,62
2023-12-03 18:40:00-05:00,15996.5,15996.75,15990.0,15991.0,15991.0,227
2023-12-03 18:42:00-05:00,15991.25,15991.5,15988.75,15990.0,15990.0,157
2023-12-03 18:44:00-05:00,15990.0,15991.5,15989.75,15991.0,15991.0,94
